Country,Participations SF,Qualifing for F,Qualifing for F (%)
Sweden,16,15,93.75%
Ukraine,16,16,100.00%
Norway,19,16,84.21%
Israel,20,13,65.00%
Bulgaria,15,6,40.00%
Cyprus,20,12,60.00%
Lithuania,21,14,66.67%
Serbia,17,13,76.47%
Hungary,13,10,76.92%
Russia,12,11,91.67%
Greece,19,16,84.21%
Armenia,17,13,76.47%
Australia,10,7,70.00%
Luxembourg,3,2,66.67%
Portugal,19,9,47.37%
Austria,15,8,53.33%
Netherlands,20,9,45.00%
Estonia,22,11,50.00%
Albania,21,12,57.14%
Belgium,21,9,42.86%
Finland,21,11,52.38%
Poland,19,9,47.37%
Moldova,19,13,68.42%
Azerbaijan,17,12,70.59%
Czechia,14,6,42.86%
Switzerland,20,8,40.00%
Slovenia,10,5,50.00%
Croatia,19,9,47.37%
Romania,16,12,75.00%
Denmark,20,12,60.00%
Malta,20,10,50.00%
Iceland,20,11,55.00%
Belarus,16,6,37.50%
Latvia,21,7,33.33%
Georgia,18,8,44.44%
San Marino,16,4,25.00%
Ireland,19,7,36.84%
North Macedonia,18,6,33.33%
Montenegro,14,2,14.29%
Bosnia & Herzegovina,8,7,87.50%
Serbia & Montenegro*,1,1,100.00%
Turkey,7,6,85.71%
Slovenia,11,3,27.27%
Andorra,6,0,0.00%
Monaco,3,0,0.00%
Slovakia,4,0,0.00%
